configuration,query_id,query_text,target_category,relevant_document_count,retrieved_document_count,precision_at_5,precision_at_10,recall_at_10,f1_at_10,average_precision,reciprocal_rank,ndcg_at_10,latency_ms
tfidf,Q01,crude oil prices,crude,578,100,1.0,1.0,0.01730103806228374,0.034013605442176874,0.1632481191638013,1.0,1.0,1.7247910000151023
tfidf,Q02,international trade deficit,trade,485,100,1.0,0.9,0.018556701030927835,0.03636363636363636,0.16042736029925475,1.0,0.9305687780632227,1.2553750020742882
tfidf,Q03,corporate acquisition takeover,acq,2369,100,1.0,1.0,0.004221190375685944,0.008406893652795294,0.03512229989821587,1.0,1.0,0.6167089995869901
tfidf,Q04,company earnings profit,earn,3964,100,1.0,1.0,0.0025227043390514633,0.005032712632108707,0.0245972340394999,1.0,1.0,2.5529999984428287
tfidf,Q05,foreign exchange dollar market,money-fx,717,100,0.8,0.9,0.012552301255230125,0.02475928473177442,0.10690823166549235,1.0,0.8611375561264454,1.833624999562744
tfidf,Q06,interest rates banking,interest,478,100,1.0,0.9,0.01882845188284519,0.036885245901639344,0.15306932869449466,1.0,0.9266360779006398,1.1892499969690107
tfidf,Q07,coffee production exports,coffee,139,100,1.0,1.0,0.07194244604316546,0.1342281879194631,0.6624639690074364,1.0,1.0,1.0180829995078966
tfidf,Q08,gold prices market,gold,124,100,1.0,1.0,0.08064516129032258,0.1492537313432836,0.5273319009098982,1.0,1.0,1.8959580011141952
tfidf,Q09,wheat production exports,wheat,283,100,1.0,1.0,0.0353356890459364,0.06825938566552901,0.3310421947445319,1.0,1.0,1.1099160001322161
tfidf,Q10,corn crop production,corn,237,100,1.0,1.0,0.04219409282700422,0.08097165991902834,0.3071688681845052,1.0,1.0,0.6310829994617961
tfidf,Q11,sugar production prices,sugar,162,100,1.0,1.0,0.06172839506172839,0.11627906976744184,0.5758230907951332,1.0,1.0,1.3242079985502642
tfidf,Q12,natural gas production,nat-gas,105,100,1.0,0.9,0.08571428571428572,0.1565217391304348,0.41452664464865063,1.0,0.9305687780632227,0.626208999165101
tfidf,Q13,shipping freight vessels,ship,286,100,0.8,0.8,0.027972027972027972,0.05405405405405405,0.21198415122539077,1.0,0.8205228949141826,0.26054100089822896
tfidf,Q14,copper prices production,copper,65,100,1.0,1.0,0.15384615384615385,0.2666666666666667,0.7181667007802429,1.0,1.0,1.2708340000244789
tfidf,Q15,cocoa production exports,cocoa,73,100,1.0,1.0,0.136986301369863,0.24096385542168672,0.8158144002111072,1.0,1.0,1.023666001856327
tfidf,Q16,cotton production exports,cotton,59,100,1.0,1.0,0.1694915254237288,0.2898550724637681,0.6302327119375503,1.0,1.0,1.0247079990222119
tfidf,Q17,cofee producion,coffee,139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07345899939537048
tfidf,Q18,crude oil producion,crude,578,100,1.0,1.0,0.01730103806228374,0.034013605442176874,0.15820249279236281,1.0,1.0,0.6701250022160821
tfidf,Q19,international trad deficit,trade,485,100,0.8,0.7,0.01443298969072165,0.028282828282828285,0.09779241096774191,1.0,0.7600791051976191,0.7638329989276826
tfidf,Q20,corporate aquisition takeover,acq,2369,100,1.0,1.0,0.004221190375685944,0.008406893652795294,0.02909768059493778,1.0,1.0,0.317541002004873
tfidf,MEAN,,,,,0.9199999999999999,0.905,0.048789684183446605,0.08866090642266439,0.3061509895280124,0.95,0.9114756595132667,1.0591456999463844
bm25,Q01,crude oil prices,crude,578,100,1.0,1.0,0.01730103806228374,0.034013605442176874,0.15525298786709651,1.0,1.0,1.8280000003869645
bm25,Q02,international trade deficit,trade,485,100,1.0,1.0,0.020618556701030927,0.04040404040404041,0.16318214601038783,1.0,1.0,1.552957997773774
bm25,Q03,corporate acquisition takeover,acq,2369,100,1.0,1.0,0.004221190375685944,0.008406893652795294,0.03212746668191765,1.0,1.0,0.7286250001925509
bm25,Q04,company earnings profit,earn,3964,100,1.0,0.9,0.002270433905146317,0.004529441368897836,0.023995399152889223,1.0,0.9305687780632227,2.7819580027426127
bm25,Q05,foreign exchange dollar market,money-fx,717,100,0.8,0.8,0.011157601115760111,0.022008253094910588,0.10915303612302224,1.0,0.8165901947515999,2.382165999733843
bm25,Q06,interest rates banking,interest,478,100,1.0,0.9,0.01882845188284519,0.036885245901639344,0.1447637672278175,1.0,0.9363792118010481,1.4797090007050429
bm25,Q07,coffee production exports,coffee,139,100,1.0,1.0,0.07194244604316546,0.1342281879194631,0.603628631742111,1.0,1.0,1.213750001625158
bm25,Q08,gold prices market,gold,124,100,1.0,1.0,0.08064516129032258,0.1492537313432836,0.5583697383654015,1.0,1.0,2.1766669997305144
bm25,Q09,wheat production exports,wheat,283,100,1.0,1.0,0.0353356890459364,0.06825938566552901,0.3092866207332862,1.0,1.0,1.4404169996851124
bm25,Q10,corn crop production,corn,237,100,1.0,0.9,0.0379746835443038,0.07287449392712551,0.2346303647093754,1.0,0.9363792118010481,0.7394580024993047
bm25,Q11,sugar production prices,sugar,162,100,1.0,1.0,0.06172839506172839,0.11627906976744184,0.5206737438682677,1.0,1.0,1.5885000029811636
bm25,Q12,natural gas production,nat-gas,105,100,0.8,0.9,0.08571428571428572,0.1565217391304348,0.49383514201568185,1.0,0.914856882358379,0.7522499981860165
bm25,Q13,shipping freight vessels,ship,286,100,1.0,0.9,0.03146853146853147,0.06081081081081082,0.22846170682146777,1.0,0.9363792118010481,0.28625000049942173
bm25,Q14,copper prices production,copper,65,100,1.0,1.0,0.15384615384615385,0.2666666666666667,0.8184062133757912,1.0,1.0,1.519583001936553
bm25,Q15,cocoa production exports,cocoa,73,100,1.0,1.0,0.136986301369863,0.24096385542168672,0.7364601025673054,1.0,1.0,1.1680000025080517
bm25,Q16,cotton production exports,cotton,59,100,1.0,1.0,0.1694915254237288,0.2898550724637681,0.6892824301841248,1.0,1.0,1.176458001282299
bm25,Q17,cofee producion,coffee,139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06195799869601615
bm25,Q18,crude oil producion,crude,578,100,1.0,1.0,0.01730103806228374,0.034013605442176874,0.15207023796406696,1.0,1.0,0.8130419992085081
bm25,Q19,international trad deficit,trade,485,100,0.8,0.8,0.016494845360824743,0.03232323232323232,0.10392141553972249,1.0,0.8414929602590189,0.8987500004877802
bm25,Q20,corporate aquisition takeover,acq,2369,100,1.0,0.9,0.003799071338117349,0.007566204287515763,0.03150960778427616,1.0,0.933745776545611,0.3379579975444358
bm25,MEAN,,,,,0.9199999999999999,0.9,0.04885626998059987,0.08879317675167978,0.30545053793670046,0.95,0.9123196113690488,1.2463228504202561
bm25_spelling,Q01,crude oil prices,crude,578,100,1.0,1.0,0.01730103806228374,0.034013605442176874,0.15525298786709651,1.0,1.0,1.7321670020464808
bm25_spelling,Q02,international trade deficit,trade,485,100,1.0,1.0,0.020618556701030927,0.04040404040404041,0.16318214601038783,1.0,1.0,1.5701250013080426
bm25_spelling,Q03,corporate acquisition takeover,acq,2369,100,1.0,1.0,0.004221190375685944,0.008406893652795294,0.03212746668191765,1.0,1.0,0.7297080010175705
bm25_spelling,Q04,company earnings profit,earn,3964,100,1.0,0.9,0.002270433905146317,0.004529441368897836,0.023995399152889223,1.0,0.9305687780632227,2.8325829989626072
bm25_spelling,Q05,foreign exchange dollar market,money-fx,717,100,0.8,0.8,0.011157601115760111,0.022008253094910588,0.10915303612302224,1.0,0.8165901947515999,2.3033750003378373
bm25_spelling,Q06,interest rates banking,interest,478,100,1.0,0.9,0.01882845188284519,0.036885245901639344,0.1447637672278175,1.0,0.9363792118010481,1.4774169976590201
